path,name,dataset,language,feature_extractor,classifier,repeat,WSS@95%,RRF@10%,ATD
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_2.h5,ACEInhibitors,DE_EN,doc2vec,logistic,8,77.57277734,82.5,7.777832415
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_3.h5,ACEInhibitors,DE_EN,doc2vec,logistic,9,73.63886703,77.5,8.345298977
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_4.h5,ACEInhibitors,DE_EN,doc2vec,logistic,10,75.52714398,77.5,8.491837136
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_5.h5,ACEInhibitors,DE_EN,doc2vec,logistic,11,75.48780488,72.5,7.540814319
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_6.h5,ACEInhibitors,DE_EN,doc2vec,logistic,12,76.54996066,77.5,8.098446105
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_7.h5,ACEInhibitors,DE_EN,doc2vec,logistic,13,74.89771833,75,8.24695122
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_8.h5,ACEInhibitors,DE_EN,doc2vec,logistic,14,76.58929976,62.5,10.29258458
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_9.h5,ACEInhibitors,DE_EN,doc2vec,logistic,15,79.38237608,80,7.754228954
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_1.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,1,74.20312953,78.57142857,8.355238647
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_10.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,2,70.58099102,71.42857143,8.553938817
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_11.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,3,74.55085482,28.57142857,12.73181686
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_12.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,4,75.13039699,78.57142857,8.244504698
